analysis_id,w2729srs9x2509c
gene_accession_id,MGI:1914561
parameter_name,PP4 + pulse startle magnitude
pvalue,0.9620846
mouse_life_stage,Early adult
gene_symbol,Nanp
mouse_strain,C57BL
parameter_id,ESLIM_011_001_010
