analysis_id,c6z2c0c9mf2q1yc
parameter_id,MGP_IMM_004_001
gene_symbol,Kdm4c
parameter_name,Total CD4+ T cells - % of ab T cells
gene_accession_id,MGI:1924054
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.5520948
