parameter_name,Hematocrit
analysis_id,64up543lvhd9bx8
mouse_strain,C57BL
gene_accession_id,MGI:1336200
pvalue,0.1730995
mouse_life_stage,Late adult
parameter_id,IMPC_HEM_004_001
gene_symbol,Hpca
