parameter_name,ST
gene_accession_id,MGI:1918025
gene_symbol,Zmynd8
mouse_life_stage,Early adult
analysis_id,5kp1jxa509m1sk2
parameter_id,IMPC_ECG_008_001
pvalue,0.3345284
mouse_strain,C57BL
