analysis_id,w9731h046dit0m7
parameter_id,MGP_CSD_064_001
gene_accession_id,MGI:107414
pvalue,0.615391
mouse_life_stage,Early adult
gene_symbol,Tnfsf10
mouse_strain,C57BL
parameter_name,Head morphology
