gene_symbol,Bmi1
mouse_strain,C57BL
gene_accession_id,MGI:88174
pvalue,0.8269393
parameter_id,IMPC_FEA_106_001
analysis_id,zy4d3qk3vwe4s3y
mouse_life_stage,Early adult
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
