analysis_id,o3ky8vxsz4u477n
mouse_strain,C57BL
gene_symbol,Psmd14
parameter_id,IMPC_OWT_004_001
parameter_name,Right kidney weight
mouse_life_stage,Early adult
gene_accession_id,MGI:1913284
pvalue,0.4149026
