analysis_id,b7474czo7vmivce
pvalue,0.4258633
gene_accession_id,MGI:1914071
mouse_strain,C57BL
gene_symbol,Bcs1l
mouse_life_stage,E9.5
parameter_name,CD103+ CD11b-low cDC - % of CD45+
parameter_id,MGP_IMM_131_001
