analysis_id,75b044g63067q86
mouse_strain,C57BL
gene_symbol,Toporsl
pvalue,0.1283989
parameter_name,Heart weight
parameter_id,HMGULA_HWT_008_001
gene_accession_id,MGI:1915524
mouse_life_stage,Early adult
