analysis_id,x7rar34988n27s0
parameter_name,Tibia length
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:108072
parameter_id,IMPC_XRY_033_001
gene_symbol,Traf6
pvalue,0.2878651
