analysis_id,dgo5u47t1w60v1n
gene_accession_id,MGI:105073
gene_symbol,Tnni1
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.3245824
parameter_name,Weight
parameter_id,M-G-P_005_001_001
