parameter_name,DN CD44+CD62L- NKT cells
analysis_id,sz6ig5a157zu1gk
mouse_life_stage,Early adult
mouse_strain,B6J
pvalue,0.05214203
parameter_id,IMPC_IMM_046_001
gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
