parameter_name,Fractional Shortening
gene_symbol,Casq1
pvalue,0.2551724
gene_accession_id,MGI:1309468
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,rnsr46yvh56331c
parameter_id,IMPC_ECH_005_001
