analysis_id,zh983u1ae8y4g9c
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_ECH_001_001
gene_symbol,Fpgs
pvalue,0.8466505
gene_accession_id,MGI:95576
parameter_name,End-Systolic Diameter
