parameter_name,Weight
gene_symbol,Bcs1l
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_id,M-G-P_005_001_001
pvalue,0.5967309
gene_accession_id,MGI:1914071
analysis_id,lpp2er4204o9d08
