analysis_id,83vs0je2126hea2
gene_accession_id,MGI:3588214
parameter_name,Delayed embryonic development
pvalue,0.852192
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_063_001
mouse_strain,C57BL
gene_symbol,Rufy4
