parameter_id,JAXLA_CSD_077_001
gene_accession_id,MGI:1328306
analysis_id,xfu6t49510b5442
parameter_name,Contact righting
mouse_life_stage,E9.5
mouse_strain,C57BL
pvalue,0.2149929
gene_symbol,Orc2
