analysis_id,v7dn5d393ty28k7
parameter_name,Prepulse inhibition - PP4
gene_symbol,Hrnr
gene_accession_id,MGI:3046938
parameter_id,ESLIM_011_001_704
mouse_life_stage,Early adult
pvalue,0.3537076
mouse_strain,C57BL
