gene_symbol,Cldn19
mouse_strain,C57BL
analysis_id,108naf58h972i84
gene_accession_id,MGI:3033992
parameter_id,ESLIM_011_001_703
mouse_life_stage,Early adult
parameter_name,Prepulse inhibition - PP3
pvalue,0.4580912
