analysis_id,af443zv82c63206
pvalue,0.2369891
parameter_id,IMPC_CSD_029_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Mms22l
gene_accession_id,MGI:2684980
parameter_name,Activity (body position)
