analysis_id,2y5b301w6f6h221
mouse_strain,C57BL
parameter_name,Total T cells - % of CD45+
mouse_life_stage,Early adult
pvalue,0.919791
gene_symbol,Zmynd19
parameter_id,MGP_MLN_001_001
gene_accession_id,MGI:1914437
