analysis_id,xlv963143c361lh
gene_symbol,Mov10
parameter_id,MGP_CSD_015_001
mouse_life_stage,Early adult
pvalue,0.5153825
gene_accession_id,MGI:97054
parameter_name,Head coat/hair presence
mouse_strain,C57BL
