parameter_name,Thoracic processes
analysis_id,36752dem7ky102i
gene_accession_id,MGI:1346088
pvalue,0.5734062
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Cd52
parameter_id,IMPC_XRY_064_001
