analysis_id,khf795p99z3u6j9
parameter_name,Tremor
parameter_id,TCPLA_CSD_030_001
mouse_life_stage,Early adult
pvalue,0.5547068
gene_accession_id,MGI:1914672
gene_symbol,Dhdds
mouse_strain,C57BL
