analysis_id,24d7ow5w558r3ss
mouse_life_stage,Middle aged adult
gene_symbol,AU040320
pvalue,0.9820118
mouse_strain,C57BL
gene_accession_id,MGI:2140475
parameter_name,Percentage center time
parameter_id,JAX_OFD_022_001
