analysis_id,1w2u1h408p1351b
gene_accession_id,MGI:99605
mouse_strain,129SV
pvalue,0.3603131
parameter_id,MGP_CSD_064_001
gene_symbol,Cntfr
mouse_life_stage,Early adult
parameter_name,Head morphology
