parameter_name,Tibia length
mouse_strain,C57BL
gene_symbol,Zc2hc1a
pvalue,0.2238044
analysis_id,0p5m641m54406gw
parameter_id,IMPC_XRY_033_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1914556
