parameter_name,Snout morphology
parameter_id,MGP_CSD_066_001
pvalue,0.239006
mouse_life_stage,Early adult
gene_symbol,Snrpb2
analysis_id,jv69669332o83jm
gene_accession_id,MGI:104805
mouse_strain,C57BL
