analysis_id,r8tw3jc8845d29p
gene_symbol,Wars2
parameter_name,Tremor
mouse_life_stage,E9.5
pvalue,0.2492802
parameter_id,TCPLA_CSD_030_001
mouse_strain,C57BL
gene_accession_id,MGI:1917810
