analysis_id,z844gl7j2f07vw4
parameter_id,ESLIM_004_001_701
gene_accession_id,MGI:1924315
parameter_name,Glucose response AUC
pvalue,0.1274269
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_symbol,Ints7
