parameter_name,Stroke Volume
mouse_strain,C57BL
parameter_id,IMPC_ECH_003_001
mouse_life_stage,E12.5
gene_symbol,Wars2
gene_accession_id,MGI:1917810
pvalue,0.7482478
analysis_id,1094700s4d7ltu9
