analysis_id,7zvdxv1867u4qz6
parameter_name,PP3 + pulse startle magnitude
mouse_life_stage,E12.5
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
mouse_strain,C50BL
pvalue,0.3197495
parameter_id,ESLIM_011_001_009
