gene_symbol,Dmap1
parameter_name,Mean left eye lens density
mouse_strain,C57BL
parameter_id,IMPC_EYE_056_001
gene_accession_id,MGI:1913483
analysis_id,264p2h00mhx5830
mouse_life_stage,Early adult
pvalue,0.1048993
