gene_symbol,Nr0b2
mouse_life_stage,Early adult
mouse_strain,B6J
parameter_name,Resting NK cells - % of CD45+
parameter_id,MGP_IMM_100_001
analysis_id,4z4wi3k27atg4b6
gene_accession_id,MGI:1346344
pvalue,0.1871277
