parameter_name,HR
mouse_life_stage,Early adult
gene_symbol,Slc39a10
parameter_id,IMPC_ECG_002_001
pvalue,0.7348679
mouse_strain,C57BL
gene_accession_id,MGI:1914515
analysis_id,h25gfi102ybg679
