parameter_name,Hindlimbs - size
parameter_id,JAXLA_CSD_022_001
mouse_life_stage,Early adult
gene_accession_id,MGI:109356
mouse_strain,C57BL
gene_symbol,Snap23
analysis_id,8j0679q5ob93y4f
pvalue,0.6921295
