gene_symbol,Mecom
pvalue,0.2450791
parameter_name,CD11b-low cDC - % of cDC
parameter_id,MGP_IMM_067_001
analysis_id,c4717qaade30j5z
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:95457
