analysis_id,y4768s56be44gzw
parameter_name,Center average speed
mouse_strain,C57BL
gene_symbol,Duoxa2
mouse_life_stage,Early adult
pvalue,0.3456801
gene_accession_id,MGI:1914061
parameter_id,JAXLA_OFD_017_001
