parameter_name,Lymphocyte differential count
analysis_id,i5xm0bo82uz8971
pvalue,0.8511712
mouse_life_stage,Early adult
gene_symbol,Cntfr
mouse_strain,C57BL
gene_accession_id,MGI:99605
parameter_id,IMPC_HEM_031_001
