parameter_name,Center average speed
gene_symbol,Fpgs
pvalue,0.4459453
mouse_life_stage,Early adult
gene_accession_id,MGI:95576
analysis_id,jgbrz5j8p33w3w4
parameter_id,JAXLA_OFD_017_001
mouse_strain,C57BL
