analysis_id,py0946v2f3ne925
pvalue,0.6464711
mouse_life_stage,Early adult
gene_accession_id,MGI:88071
parameter_name,30kHz-evoked ABR Threshold
parameter_id,IMPC_ABR_012_001
mouse_strain,C57BL
gene_symbol,Arnt
