analysis_id,7o6882q0h2dyq74
parameter_id,IMPC_DXA_009_001
mouse_strain,C57BL
parameter_name,Fat/Body weight
gene_symbol,Trpa1
gene_accession_id,MGI:3522699
mouse_life_stage,Early adult
pvalue,0.7995922
