parameter_name,Ly6Clow monocyte percentage
analysis_id,nplivy305v25shx
mouse_strain,C57BL
parameter_id,MGP_PBI_018_001
gene_symbol,Amigo1
pvalue,0.3910729
gene_accession_id,MGI:2653612
mouse_life_stage,Early adult
