analysis_id,74y52alcww7263e
gene_accession_id,MGI:106659
pvalue,0.4914253
gene_symbol,Sprr1b
parameter_id,HMGULA_CBC_015_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Total cholesterol
