gene_symbol,Hspa5
mouse_strain,C57BL
gene_accession_id,MGI:95835
parameter_name,Tongue out
analysis_id,95r4225z0362h33
pvalue,0.9283971
mouse_life_stage,E12.5
parameter_id,IMPC_GEP_083_001
