gene_symbol,Clvs1
parameter_id,IMPC_IMM_071_001
mouse_life_stage,Early adult
parameter_name,MZB (CD21/35 high)
pvalue,0.2536342
analysis_id,gsy88h41546661q
gene_accession_id,MGI:1921688
mouse_strain,C57BL
