analysis_id,mg1g0s1b810lzzu
mouse_life_stage,Early adult
parameter_name,Midbrain
pvalue,0.1003539
gene_accession_id,MGI:1914061
gene_symbol,Duoxa2
mouse_strain,C57BL
parameter_id,IMPC_GEL_029_001
