gene_symbol,Rigi
mouse_strain,C57BL
parameter_name,Total NK cells - % of CD45+
parameter_id,MGP_IMM_033_001
analysis_id,7l8sd55nym1z360
mouse_life_stage,Early adult
pvalue,0.6336787
gene_accession_id,MGI:2442858
