analysis_id,b14yegi2f9196vj
mouse_strain,C57BL
parameter_name,KLRG1+ gd T cells - % of gd T cells
gene_accession_id,MGI:1914515
parameter_id,MGP_IMM_022_001
gene_symbol,Slc39a10
mouse_life_stage,Early adult
pvalue,0.3367262
