analysis_id,2ijrs52411h2b09
gene_symbol,Psmd14
mouse_strain,C57BL
pvalue,0.1953806
gene_accession_id,MGI:1913284
parameter_name,Total ab T cells - % of CD45+
parameter_id,MGP_MLN_063_001
mouse_life_stage,Early adult
