gene_symbol,Gfi1b
pvalue,0.9415905
parameter_id,IMPC_XRY_023_001
parameter_name,Ulna
mouse_strain,C57BL
analysis_id,2k8vbbh534h9gv1
mouse_life_stage,Early adult
gene_accession_id,MGI:1276578
