parameter_name,Cleft palate
mouse_strain,129SV
mouse_life_stage,Early adult
analysis_id,qj38eiljbclqbg3
pvalue,0.8701309
gene_accession_id,MGI:1920638
gene_symbol,Bpifa3
parameter_id,IMPC_GEP_076_001
