gene_symbol,Plcb1
mouse_life_stage,Late adult
parameter_id,IMPC_IMM_034_001
mouse_strain,C57BL
gene_accession_id,MGI:97613
analysis_id,hq9dw1i7669i87y
pvalue,0.9919657
parameter_name,CD8 CD44-CD62L+ T cells
