analysis_id,0l44r9s331th9u3
parameter_id,IMPC_ABR_006_001
gene_accession_id,MGI:1915087
parameter_name,12kHz-evoked ABR Threshold
gene_symbol,Tiprl
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.5992504
