gene_symbol,Trp53rkb
parameter_id,ESLIM_011_001_006
mouse_life_stage,Early adult
pvalue,0.2353882
mouse_strain,C57BL
analysis_id,67qo6h9gn56f0y4
gene_accession_id,MGI:1914050
parameter_name,110dB startle magnitude
