analysis_id,8qwb7esxtw1l979
gene_symbol,Bpifa3
mouse_life_stage,Early adult
gene_accession_id,MGI:1920638
parameter_id,UCD_OWT_003_001
parameter_name,Spleen weight
pvalue,0.7697105
mouse_strain,129SV
