gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
parameter_name,30kHz-evoked ABR Threshold
mouse_strain,C57BL
pvalue,0.5141298
mouse_life_stage,Early adult
analysis_id,20q418ib0aw94fm
parameter_id,IMPC_ABR_012_001
