analysis_id,1iam035ha0gfw98
pvalue,0.4708701
mouse_life_stage,Early adult
parameter_name,Phosphorus
mouse_strain,C57BL
gene_symbol,Dmap1
parameter_id,IMPC_CBC_010_001
gene_accession_id,MGI:1913483
