gene_symbol,Smyd2
parameter_name,KLRG1+ gd T cells - % of gd T cells
parameter_id,MGP_IMM_022_001
analysis_id,y87xx4g86dc596m
mouse_strain,C57BL
gene_accession_id,MGI:1915889
mouse_life_stage,Early adult
pvalue,0.6914291
