analysis_id,5nlyes1wf82k56w
gene_accession_id,MGI:2140475
parameter_name,NK Subsets (Q2)
mouse_life_stage,Late adult
gene_symbol,AU040320
mouse_strain,C57BL
parameter_id,IMPC_IMM_055_001
pvalue,0.9605559
