parameter_id,TCPLA_XRY_033_001
gene_symbol,Gja10
mouse_life_stage,Early adult
analysis_id,78ju1yl2yrzt2s6
parameter_name,Tibia length
mouse_strain,C57BL
gene_accession_id,MGI:1339969
pvalue,0.2893389
