parameter_name,eye size
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,ESLIM_001_001_117
analysis_id,27qv0z8ug91578q
gene_symbol,Mov10
gene_accession_id,MGI:97054
pvalue,0.8631253
