analysis_id,02l6dl5h88w98j1
gene_accession_id,MGI:2685277
parameter_id,IMPC_DXA_004_001
parameter_name,Bone Mineral Density (excluding skull)
mouse_life_stage,Early adult
gene_symbol,Zyg11b
mouse_strain,C57BL
pvalue,0.6412362
