parameter_name,PQ
parameter_id,IMPC_ECG_005_001
mouse_strain,C57BL
analysis_id,04a2u66xgn4z453
gene_symbol,Dhdds
mouse_life_stage,Early adult
gene_accession_id,MGI:1914672
pvalue,1.308584
